Coordenada x de la abeja, coordenada y de la abeja, coordenada z de la abeja
-75.5460650543,6.34079027436,1351.60
-75.5513376916,6.34545151368,1344.14
-75.5524923935,6.33827455882,1389.36
-75.5596390612,6.34025145505,1312.41
-75.5598421645,6.33765362386,1319.25
-75.5684976163,6.33197744255,1328.42
-75.5477271186,6.34271912449,1311.22
-75.5402636232,6.3421690302,1322.61
-75.5569173703,6.32957348054,1373.85
-75.5603806454,6.34644456389,1333.22
-75.5400508304,6.33637770784,1316.53
-75.5640714747,6.33210140136,1385.44
-75.5554933682,6.33172268347,1356.80
-75.5678045761,6.34360577681,1386.48
-75.5577361451,6.34455329219,1317.89
-75.5652147736,6.34358227068,1374.54
-75.5680407272,6.33498950403,1328.51
-75.5473376209,6.33636094402,1389.81
-75.5485509887,6.33635712445,1316.90
-75.5515528946,6.3282331902,1315.94
-75.5658179639,6.34119907734,1384.36
-75.5609233481,6.33775705485,1368.64
-75.5428784934,6.3361603319,1366.30
-75.5408017181,6.33897961975,1341.93
-75.5520026476,6.32727108048,1374.78
-75.5480870233,6.34660984203,1343.31
-75.5451424481,6.34394556529,1370.57
-75.5538542579,6.34142249573,1367.85
-75.5457239288,6.34079571244,1312.23
-75.5423286107,6.34722508324,1370.39
-75.5627070175,6.34757889355,1346.87
-75.5451804784,6.33449046085,1333.23
-75.5499959959,6.34037094861,1320.34
-75.5607860622,6.33948092204,1358.11
-75.5633473534,6.33078306743,1314.30
-75.5609852233,6.34709222223,1345.09
-75.5676708988,6.33707494676,1343.26
-75.5660678943,6.33513043715,1371.34
-75.5490641108,6.33505309824,1323.58
-75.5633209108,6.33384696422,1327.36
-75.5667146228,6.33368465334,1334.88
-75.5515559896,6.33509802651,1376.57
-75.5516601529,6.33256115655,1352.19
-75.5438396516,6.33755972274,1356.86
-75.5470104965,6.33611913741,1371.00
-75.5645063339,6.34310725057,1315.08
-75.5588604715,6.33357547132,1365.44
-75.569972188,6.33592179064,1359.86
-75.5407939309,6.34298506265,1374.01
-75.554747461,6.34790664914,1318.19
-75.5431909675,6.34301938463,1313.33
-75.5570325482,6.33045227733,1323.51
-75.558032511,6.33015766029,1347.87
-75.5666424585,6.33681916066,1354.84
-75.5608566004,6.34715961937,1314.60
-75.5408638792,6.34543570013,1332.82
-75.549273744,6.34375258301,1343.47
-75.5585223631,6.33870567465,1337.46
-75.5465385313,6.33429560321,1376.34
-75.5663412183,6.32960089498,1386.15
-75.5617927597,6.34740589687,1330.95
-75.5675039961,6.32827473976,1355.42
-75.5525632904,6.33061989087,1333.62
-75.5659987751,6.33887186611,1377.49
-75.5474509079,6.33058598561,1369.37
-75.5582659593,6.33279111618,1385.03
-75.5452262883,6.33839078148,1318.17
-75.5497611016,6.34352806093,1379.01
-75.5573184261,6.34680781888,1367.39
-75.5507416864,6.34273372301,1344.72
-75.5628859476,6.33833329186,1334.15
-75.5627651791,6.33144209594,1318.64
-75.5589027695,6.34453293993,1317.52
-75.5644342317,6.32883398006,1320.50
-75.5674189457,6.33062859884,1357.33
-75.564008933,6.33671817854,1325.34
-75.5670302086,6.34550591972,1312.63
-75.5482640224,6.33852623824,1323.46
-75.5439691371,6.34021115498,1326.84
-75.5647023963,6.33558565331,1340.87
-75.566112384,6.33199389122,1313.38
-75.5613175895,6.32745187842,1358.07
-75.5629695974,6.34326731344,1330.26
-75.5534441961,6.3329132084,1333.82
-75.5481818159,6.34426298609,1383.02
-75.5413990339,6.34749197561,1352.10
-75.5457738733,6.34008496688,1359.70
-75.5653790098,6.33776423364,1367.97
-75.5603172558,6.34321416801,1372.22
-75.5538253082,6.34087745892,1312.50
-75.5622292967,6.32828122692,1383.89
-75.5648070147,6.33305152869,1334.02
-75.5403759214,6.3340362327,1336.89
-75.5452210084,6.3390920787,1334.03
-75.5647314098,6.33571958981,1381.33
-75.5591717864,6.34477404009,1358.15
-75.5681431852,6.33039517291,1380.64
-75.5614168611,6.34432910121,1355.07
-75.5492642284,6.34500672695,1360.93
-75.5643257518,6.33866784425,1351.63
-75.5463998375,6.33209203677,1346.23
-75.5544792308,6.33400313571,1381.79
-75.5413412641,6.32824353821,1328.12
-75.5537317103,6.33731597603,1318.08
-75.5400339791,6.34037735718,1366.77
-75.558495532,6.32903807425,1363.93
-75.5611188439,6.34196909791,1350.55
-75.5485970861,6.34255495982,1335.26
-75.5489167829,6.34500421467,1362.44
-75.5512984545,6.3431070856,1322.71
